"<strong>Auszeit</strong> <br><br> <span style='font-size:75%'>Auszeit (noun) <br>• <strong class=""headword"">Auszeit</strong></span>"	time off<br><br> <span style='font-size:75%'>Automated translations:<br>• time out</span>
"<strong>eine Idee umsetzen</strong> <br><br> <span style='font-size:75%'>hineinversetzen (reflexive verb) <br>• <span class=""grammatical_construction"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> in <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
               <strong class=""tilde"">hineinversetzen
</strong>            </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> in <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> hineinversetzt fühlen</span><br>• <span class=""grammatical_construction"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> in <acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">hineinversetzen
</strong>            </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> in <acronym title=""jemandes"">jds</acronym> Lage <strong class=""tilde"">hineinversetzen
</strong>            </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> in frühere Zeiten/in das Zeitalter der Renaissance hineinversetzt fühlen</span></span>"	"to implement an idea<br><br> <span style='font-size:75%'>Automated translations:<br>• to feel as though  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> if]</span>  one is in <acronym title=""something"">sth</acronym><br>• to feel one has been transported back in time/to the Renaissance<br>• to put oneself in <acronym title=""somebody's"">sb's</acronym> place <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> position]</span> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> shoes]</span><br>• to acquaint oneself with <acronym title=""something"">sth</acronym><br>• to familiarize oneself with <acronym title=""something"">sth</acronym></span>"
"<strong>einen Traum verwirklichen</strong> <br><br> <span style='font-size:75%'>verwirklichen (transitive verb) <br>• <span class=""full_collocation"">ein Projekt/Vorhaben <strong class=""tilde"">verwirklichen
</strong>               </span><br>• <span class=""full_collocation"">eine Idee/einen Plan <strong class=""tilde"">verwirklichen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">verwirklichen
</strong>               </span></span>"	"to realize a dream<br><br> <span style='font-size:75%'>Automated translations:<br>• to realize <acronym title=""something"">sth</acronym><br>• to carry out  <span class=""info""><acronym title=""separable"">sep</acronym></span>  a project<br>• to put an idea/a plan into practice <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> effect]</span><br>• to translate an idea/a plan into action</span>"
"<strong>einen Auftrag bekommen</strong> <br><br> <span style='font-size:75%'>aufbekommen (transitive verb) <br>• <span class=""example"">wir haben heute sehr viel <strong class=""tilde"">aufbekommen
						</strong>         </span><br>• <span class=""example"">lässt sich die Schublade ohne Schlüssel <strong class=""tilde"">aufbekommen?</strong></span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">aufbekommen
					</strong>       </span></span>"	"to receive an order<br><br> <span style='font-size:75%'>Automated translations:<br>• to get <acronym title=""something"">sth</acronym> open<br>• to get <acronym title=""something"">sth</acronym> as homework<br>• we were given a lot of homework today<br>• can the drawer be opened without a key?</span>"
"<strong>aufnehmen, AKK</strong> <br><br> <span style='font-size:75%'>aufnehmen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym> auf Band/CD <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation"">ein Telegramm <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation"">eine CD/Platte <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation"">eine Bestellung <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation"">ein Polizeiprotokoll <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation""><acronym title=""jemandes"">jds</acronym> Personalien <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation"">ein Bild/Foto <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""example"">diese Kamera nimmt alles sehr scharf auf</span><br>• <span class=""full_collocation"">eine Szene <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""full_collocation"">ein Diktat <strong class=""tilde"">aufnehmen
</strong>            </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym> <strong class=""tilde"">aufnehmen
</strong>            </span></span>"	"to take something (like a photo or video)<br><br> <span style='font-size:75%'>Automated translations:<br>• to take a telegram<br>• to take [down] <acronym title=""something"">sth</acronym><br>• to take a picture/photo[graph]<br>• to take [down] a police statement<br>• to film  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> shoot]</span>  a scene<br>• to record <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym> on tape/CD<br>• to take a letter<br>• to film <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• to take an order<br>• to map <acronym title=""something"">sth</acronym><br>• to record <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• to photograph  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> take a photo[graph] of]</span>  <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• this camera takes very sharply focused photo[graph]s <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> pictures]</span><br>• to take [down] <acronym title=""somebody's"">sb's</acronym> personal data<br>• to record a CD/record</span>"
<strong>zuschauen</strong> <br><br> <span style='font-size:75%'>zuschauen (intransitive verb) <br>• </span>	to spectate<br><br> <span style='font-size:75%'>Automated translations:<br>• </span>
"<strong>überreden</strong> <br><br> <span style='font-size:75%'>überreden (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> zu <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">überreden
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> [dazu] <strong class=""tilde"">überreden</strong>, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""grammatical_construction"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">überreden</strong> lassen, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">überreden
</strong>               </span></span>"	"to convince<br><br> <span style='font-size:75%'>Automated translations:<br>• to talk <acronym title=""somebody"">sb</acronym> into <acronym title=""something"">sth</acronym><br>• to let oneself be talked  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> persuaded]</span>  into doing <acronym title=""something"">sth</acronym><br>• to talk <acronym title=""somebody"">sb</acronym> into doing <acronym title=""something"">sth</acronym><br>• to persuade <acronym title=""somebody"">sb</acronym> to do <acronym title=""something"">sth</acronym><br>• to persuade  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""info""><acronym title=""separable"">sep</acronym></span> talk round]</span>  <acronym title=""somebody"">sb</acronym></span>"
"<strong>Heiratsantrag</strong> <br><br> <span style='font-size:75%'>Heiratsantrag (noun) <br>• <strong class=""headword"">Heiratsantrag</strong><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> einen <strong class=""tilde"">Heiratsantrag</strong> machen</span></span>"	"marriage proposal<br><br> <span style='font-size:75%'>Automated translations:<br>• [marriage] proposal<br>• to propose to <acronym title=""somebody"">sb</acronym></span>"
"<strong>üblich</strong> <br><br> <span style='font-size:75%'>üblich (adjective and adverb) <br>• <span class=""full_collocation"">wie <strong class=""tilde"">üblich
</strong>            </span><br>• <span class=""example"">es ist bei uns hier [so] <strong class=""tilde"">üblich
</strong>            </span><br>• <strong class=""headword"">üblich</strong></span>"	common<br><br> <span style='font-size:75%'>Automated translations:<br>• customary<br>• as usual<br>• usual<br>• that&#39;s the custom with us here</span>
"<strong>Gesichtspunkt</strong> <br><br> <span style='font-size:75%'>Gesichtspunkt (noun) <br>• <span class=""full_collocation"">unter diesem <strong class=""tilde"">Gesichtspunkt</strong> betrachtet</span><br>• <strong class=""headword"">Gesichtspunkt</strong></span>"	point of View<br><br> <span style='font-size:75%'>Automated translations:<br>• point of view<br>• seen from this/that point of view</span>
"<strong>Ausnahme</strong> <br><br> <span style='font-size:75%'>Ausnahme (noun) <br>• <span class=""full_collocation"">eine <strong class=""tilde"">Ausnahme</strong> sein wollen</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">Ausnahme</strong> zulassen</span><br>• <span class=""full_collocation"">ohne [jede] <strong class=""tilde"">Ausnahme
</strong>            </span><br>• <span class=""grammatical_construction"">mit <strong class=""tilde"">Ausnahme</strong> von <acronym title=""jemandem"">jdm</acronym></span> <span class=""grammatical_construction"">mit <acronym title=""jemandes"">jds</acronym>  <strong class=""tilde"">Ausnahme
</strong>            </span><br>• <strong class=""headword"">Ausnahme</strong><br>• <span class=""full_collocation"">[bei <acronym title=""jemandem"">jdm</acronym>/<acronym title=""etwas"">etw</acronym>] die <strong class=""tilde"">Ausnahme</strong> sein</span><br>• <span class=""full_collocation"">[mit <acronym title=""jemandem"">jdm</acronym>/<acronym title=""etwas"">etw</acronym>] eine/keine <strong class=""tilde"">Ausnahme</strong> machen</span><br>• <span class=""full_collocation"">mit einer <strong class=""tilde"">Ausnahme
</strong>            </span><br>• <span class=""idiom_proverb"">
               <strong class=""tilde"">Ausnahmen</strong> bestätigen die Regel</span> <span class=""rhetoric""><acronym title=""proverb"">prov</acronym></span></span>"	"exception<br><br> <span style='font-size:75%'>Automated translations:<br>• with one exception<br>• to make an/to make no exception [in <acronym title=""somebody's"">sb's</acronym> case/the case of <acronym title=""something"">sth</acronym>]<br>• without exception<br>• with the exception of  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> except [for]]</span>  <acronym title=""somebody"">sb</acronym><br>• to make an exception<br>• to be the exception [with <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>]<br>• the exception proves the rule <span class=""rhetoric""><acronym title=""proverb"">prov</acronym></span><br>• exception<br>• to want to be different <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> an exception]</span></span>"
"<strong>kündigen</strong> <br><br> <span style='font-size:75%'>kündigen (transitive verb) <br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> unter Einhaltung der Frist <strong class=""tilde"">kündigen
</strong>               </span><br>• <span class=""example"">laut Vertrag kann man sie nur mit einer Frist von sechs Monaten <strong class=""tilde"">kündigen
</strong>               </span><br>• <span class=""full_collocation"">seine Arbeit/seinen Job/seine Stelle <strong class=""tilde"">kündigen
</strong>               </span><br>• <span class=""example"">ich habe erst mal 4.000 Euro von meinem Sparbuch gekündigt</span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym> fristlos <strong class=""tilde"">kündigen
</strong>               </span><br>• <strong class=""headword"">kündigen</strong><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">kündigen
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> den Kredit <strong class=""tilde"">kündigen
</strong>               </span><br>• <span class=""example"">Zeitschriftenabonnements können nur mit einer Frist von drei Monaten gekündigt werden</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">kündigen
</strong>               </span><br>• <span class=""grammatical_construction"">[<acronym title=""jemandem"">jdm</acronym>] <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">kündigen
</strong>               </span><br>• <span class=""example"">ich habe der Vermieterin die Wohnung gekündigt</span></span>"	"to quit<br><br> <span style='font-size:75%'>Automated translations:<br>• to cancel <acronym title=""something"">sth</acronym> by observing the period of notice<br>• to discontinue <acronym title=""somebody's"">sb's</acronym> credit<br>• to quit<br>• to dismiss <acronym title=""somebody"">sb</acronym> instantly<br>• to terminate<br>• to give [<acronym title=""somebody"">sb</acronym>] notice of cancellation with regards to <acronym title=""something"">sth</acronym><br>• to dismiss  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> lay off]</span>  <acronym title=""somebody"">sb</acronym> <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• according to the contract she has to be given six months notice<br>• magazine subscriptions can only be cancelled by giving three months notice<br>• I&#39;ve given notice to withdraw 4,000 euros from my savings book<br>• to hand in one&#39;s notice<br>• to cancel<br>• I&#39;ve given the landlady notice that I&#39;m vacating [the flat]<br>• to give [<acronym title=""somebody"">sb</acronym>] notice of withdrawal of <acronym title=""something"">sth</acronym></span>"
"<strong>entlassen</strong> <br><br> <span style='font-size:75%'>entlassen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">entlassen
</strong>            </span> <span class=""sense"">(Stellen abbauen)</span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">entlassen
</strong>            </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">entlassen
</strong>            </span> <span class=""topic""><acronym title=""medicine"">MED</acronym>, <acronym title=""military"">MIL</acronym></span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">entlassen
</strong>            </span> <span class=""topic""><acronym title=""school, education"">SCHOOL</acronym></span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">entlassen
</strong>            </span> <span class=""sense"">(gehen lassen)</span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> aus <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
               <strong class=""tilde"">entlassen
</strong>            </span><br>• <span class=""example"">die Schüler wurden ins Berufsleben <strong class=""tilde"">entlassen
</strong>            </span></span>"	"to dismiss<br><br> <span style='font-size:75%'>Automated translations:<br>• to dismiss <acronym title=""somebody"">sb</acronym><br>• the pupils left school to start working life<br>• to release <acronym title=""somebody"">sb</acronym> from <acronym title=""something"">sth</acronym><br>• to expel <acronym title=""somebody"">sb</acronym><br>• to make <acronym title=""somebody"">sb</acronym> redundant<br>• to dismiss<br>• to discharge <acronym title=""somebody"">sb</acronym></span>"
ein Ziel erreichen	to reach a goal
"<strong>erreichen</strong> <br><br> <span style='font-size:75%'>erreichen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">erreichen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">erreichen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [bei <acronym title=""jemandem"">jdm</acronym>] <strong class=""tilde"">erreichen
</strong>               </span><br>• <span class=""example"">ich weiß immer noch nicht, was du <strong class=""tilde"">erreichen</strong> willst</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [mit <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">erreichen
</strong>               </span><br>• <span class=""example"">wir werden Paris in einer halben Stunde <strong class=""tilde"">erreichen
</strong>               </span><br>• <span class=""example"">Ihr Brief/Ihre Nachricht hat mich nicht rechtzeitig erreicht</span><br>• <span class=""full_collocation"">ein Ziel <strong class=""tilde"">erreichen
</strong>               </span><br>• <span class=""example"">hast du beim Chef etwas <strong class=""tilde"">erreichen</strong> können?</span></span>"	"to reach<br><br> <span style='font-size:75%'>Automated translations:<br>• to reach <acronym title=""something"">sth</acronym> [with <acronym title=""something"">sth</acronym>]<br>• to get hold of <acronym title=""somebody"">sb</acronym> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• to catch <acronym title=""somebody"">sb</acronym> up <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span><br>• to contact <acronym title=""somebody"">sb</acronym><br>• did you manage to get anywhere with the boss?<br>• I still don&#39;t know what you want to achieve<br>• to reach <acronym title=""something"">sth</acronym><br>• to reach <acronym title=""somebody"">sb</acronym><br>• I didn&#39;t receive your letter/message on time<br>• your letter/message didn&#39;t reach me on time<br>• to get to <acronym title=""something"">sth</acronym><br>• in half an hour we will arrive in Paris<br>• to catch <acronym title=""something"">sth</acronym><br>• to achieve  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> reach]</span>  a goal<br>• to get somewhere [with <acronym title=""somebody"">sb</acronym>]<br>• to catch up with <acronym title=""somebody"">sb</acronym></span>"
"<strong>Überfordert</strong> <br><br> <span style='font-size:75%'>überfordert (adjective and adverb) <br>• <strong class=""headword"">überfordert</strong><br>• <span class=""example"">damit bin ich <strong class=""tilde"">überfordert
</strong>               </span></span>"	overwhelming<br><br> <span style='font-size:75%'>Automated translations:<br>• overtaxed<br>• that&#39;s asking too much of me<br>• that&#39;s too much for me</span>
