"<strong>Angestellte</strong> <br><br> <span style='font-size:75%'>Angestellte(r) (noun) <br>• <strong class=""headword"">Angestellte(r)</strong></span>"	employees<br><br> <span style='font-size:75%'>Automated translations:<br>• [salaried] employee<br>• white-collar worker</span>
"<strong>weich</strong> <br><br> <span style='font-size:75%'>weich (adjective and adverb) <br>• <strong class=""headword"">weich</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">weicher</strong> Tourismus</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">weiches</strong> Fleisch</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">weiche</strong> Gesichtszüge</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">weicher</strong> Boykott</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">weiche</strong> Drogen</span><br>• <span class=""idiom_proverb"">
                  <strong class=""tilde"">weich</strong> werden</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">weiches</strong> Ei</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">weicher</strong> Teppich</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">weiche</strong> Bremsung</span></span>"	Soft<br><br> <span style='font-size:75%'>Automated translations:<br>• gentle breaking<br>• soft drugs<br>• full features<br>• to weaken<br>• full<br>• a soft carpet<br>• tender meat<br>• passive resistance<br>• a soft-boiled egg<br>• unobtrusive tourism<br>• soft</span>
"<strong>tatsächlich</strong> <br><br> <span style='font-size:75%'>tatsächlich (adjective and adverb) <br>• <strong class=""headword"">tatsächlich</strong> <span class=""topic""><acronym title=""law"">LAW</acronym> <acronym title=""auch"">a.</acronym></span><br>• <strong class=""headword"">tatsächlich</strong> <span class=""sense"">(wirklich)</span><br>• <span class=""example"">der Bericht basiert auf <strong class=""tilde"">tatsächlichen</strong> Begebenheiten</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">tatsächliche</strong> Feststellung</span> <span class=""topic""><acronym title=""law"">LAW</acronym></span></span>"	"actually<br><br> <span style='font-size:75%'>Automated translations:<br>• ascertainment of facts<br>• factual<br>• the report is based on actual events<br>• actual <span class=""info""><acronym title=""attributive"">attr</acronym></span><br>• real</span>"
"<strong>Rutsch, r</strong> <br><br> <span style='font-size:75%'>Rutsch (noun) <br>• <strong class=""headword"">Rutsch</strong><br>• <span class=""example"">guten <strong class=""tilde"">Rutsch!</strong></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">in einem <strong class=""tilde"">Rutsch
</strong>               </span> <span class=""rhetoric""><acronym title=""figurative"">fig</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span></span>"	Slide<br><br> <span style='font-size:75%'>Automated translations:<br>• happy New Year!<br>• in one go<br>• landslide</span>
"<strong>Ischias</strong> <br><br> <span style='font-size:75%'>Ischias (noun) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Ischias</strong> haben</span><br>• <strong class=""headword"">Ischias</strong></span>"	"sciatica<br><br> <span style='font-size:75%'>Automated translations:<br>• to suffer from sciatica<br>• sciatica <span class=""info"">no <acronym title=""plural"">pl</acronym></span></span>"
"<strong>Entspannung</strong> <br><br> <span style='font-size:75%'>Entspannung (noun) <br>• <strong class=""headword"">Entspannung</strong><br>• <span class=""full_collocation"">zur <strong class=""tilde"">Entspannung
</strong>               </span><br>• <span class=""example"">nach der Arbeit sehe ich zur <strong class=""tilde"">Entspannung</strong> etwas fern</span></span>"	"relaxation<br><br> <span style='font-size:75%'>Automated translations:<br>• easing of  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> reduction in]</span>  tension<br>• for relaxation<br>• relaxation<br>• I watch a bit of television to unwind  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""region""><acronym title=""besonders"">bes.</acronym> <acronym title=""American English"" class=""Am"">Am</acronym></span> 
                     <span class=""style""><acronym title=""informal"">inf</acronym></span> chill out]</span>  after work</span>"
"<strong>spitz</strong> <br><br> <span style='font-size:75%'>spitz (adjective and adverb) <br>• <strong class=""headword"">spitz</strong> <span class=""collocator"">Winkel</span><br>• <span class=""grammatical_construction"">auf <acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym> <strong class=""tilde"">spitz</strong> sein</span><br>• <strong class=""headword"">spitz</strong><br>• <strong class=""headword"">spitz</strong> <span class=""collocator"">Schuh</span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">spitz</strong> machen</span><br>• <strong class=""headword"">spitz</strong> <span class=""collocator"">Schrei</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">spitze</strong> Nase/ein <strong class=""tilde"">spitzes</strong> Kinn/Gesicht</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">spitze</strong> Klammern</span></span>"	"sharp<br><br> <span style='font-size:75%'>Automated translations:<br>• pinched<br>• curt<br>• angle brackets<br>• keen<br>• to turn <acronym title=""somebody"">sb</acronym> on<br>• a pointy nose/chin/face<br>• drawn<br>• shrill<br>• tapered<br>• sharp<br>• acute<br>• to be keen on <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> fancy <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>]</span><br>• pointed</span>"
"<strong>tun</strong> <br><br> <span style='font-size:75%'>tun (transitive verb) <br>• <span class=""example"">das Radio muss repariert werden — der Techniker tut es nicht unter 100 Euro</span><br>• <span class=""full_collocation"">einen Hopser/Schrei <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""full_collocation"">was sich <strong class=""tilde"">tun</strong> lässt</span><br>• <span class=""example"">keine Angst, der Hund tut Ihnen nichts</span><br>• <span class=""example"">ein Bleistift tut&#39;s auch</span><br>• <span class=""example"">tu, was du nicht lassen kannst</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">tun</strong>, was man kann</span><br>• <span class=""full_collocation"">das eine <strong class=""tilde"">tun</strong>, und das andere nicht lassen</span><br>• <span class=""example"">in dieser Angelegenheit wird derzeit einiges von uns getan</span><br>• <span class=""full_collocation"">was <acronym title=""jemand"">jd</acronym> zu <strong class=""tilde"">tun</strong> und zu lassen hat</span><br>• <span class=""example"">was tut die Schere im Kühlschrank?</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""grammatical_construction"">es [mit <acronym title=""jemandem"">jdm</acronym>] <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> nicht unter <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">tun
</strong>               </span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> noch <strong class=""tilde"">tun</strong> müssen</span><br>• <span class=""example"">warum tut denn niemand etwas?</span><br>• <span class=""example"">was tut man nicht alles für seine Nichten und Neffen!</span><br>• <span class=""example"">was tut er nur den ganzen Tag?</span><br>• <span class=""example"">das Sofa tut&#39;s noch ein Weilchen</span><br>• <span class=""example"">ich will sehen, was sich da <strong class=""tilde"">tun</strong> lässt</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> irgendwohin <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""dative"">dat</acronym></span> <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">damit ist es [noch] nicht getan</span><br>• <span class=""example"">was sollen wir bloß <strong class=""tilde"">tun?</strong></span><br>• <span class=""full_collocation"">etwas/nichts <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">er tut nichts, als sich zu beklagen</span><br>• <span class=""grammatical_construction"">es noch/nicht mehr <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">was tust du da?</span><br>• <span class=""full_collocation"">noch viel <strong class=""tilde"">tun</strong> müssen</span><br>• <span class=""example"">tut es das?</span><br>• <span class=""example"">dein Hund tut doch hoffentlich nichts?</span><br>• <span class=""example"">was haben sie mit dir getan, dass du so verängstigt bist?</span><br>• <span class=""full_collocation"">einiges/etwas/nichts für <acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""full_collocation"">einiges/etwas/nichts für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""full_collocation"">was <strong class=""tilde"">tun?</strong></span><br>• <span class=""idiom_proverb"">was du nicht willst, dass man dir tu, das füg auch keinem andern zu</span> <span class=""rhetoric""><acronym title=""proverb"">prov</acronym></span><br>• <span class=""full_collocation"">nichts <strong class=""tilde"">tun</strong>, als ...</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""example"">was kann ich für Sie <strong class=""tilde"">tun?</strong></span> <span class=""sense"">(im Geschäft)</span><br>• <span class=""example"">tut es dein altes Tonbandgerät eigentlich noch?</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> gegen <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">man tut, was man kann</span><br>• <span class=""example"">was ist zu tun?</span><br>• <span class=""example"">was tut&#39;s</span><br>• <span class=""grammatical_construction"">es [für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">so etwas tut man nicht!</span><br>• <span class=""full_collocation"">[<acronym title=""jemandem"">jdm</acronym>] etwas/nichts <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">der Arzt kann nichts mehr für ihn <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">du musst etwas für dich <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">ich muss mehr für meine schlanke Linie <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">für heute tut&#39;s das</span><br>• <span class=""example"">was tut man in einer solchen Situation?</span><br>• <span class=""example"">hast du dir was getan?</span><br>• <span class=""full_collocation"">einiges/etwas/nichts <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">tun</strong> und lassen können, was man will</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [für <acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> aus Liebe/Verzweiflung <strong class=""tilde"">tun
</strong>               </span><br>• <span class=""example"">das tut nichts</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> mit <acronym title=""jemandem"">jdm</acronym> <strong class=""tilde"">tun
</strong>               </span></span>"	"do<br><br> <span style='font-size:75%'>Automated translations:<br>• I must do more for my figure<br>• a pencil will do<br>• what does it matter?<br>• to hurt oneself<br>• to do <acronym title=""something"">sth</acronym> [for <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>]<br>• the radio needs repairing — the electrician won&#39;t do it for less than 100 euros<br>• can I help you?<br>• I&#39;ll see what I can do  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> can be done]</span>  [about it]<br>• are you all right?<br>• to matter/not to matter<br>• the sofa has a bit more wear in it<br>• to have still got <acronym title=""something"">sth</acronym> to do<br>• that&#39;ll do for today<br>• to jump/cry [out]<br>• what should one do in a situation like this?<br>• what&#39;s to be done?<br>• what have they done to you to make you so frightened?<br>• what is there to be done?<br>• why does nobody act?<br>• to do something/nothing [to <acronym title=""somebody"">sb</acronym>]<br>• to do it [with <acronym title=""somebody"">sb</acronym>] <span class=""style""><acronym title=""slang"">sl</acronym></span><br>• what does he do all day?<br>• what can I do for you?<br>• we&#39;re currently undertaking a number of things in this matter<br>• to do [for <acronym title=""something"">sth</acronym>]<br>• to do what one can<br>• to do <acronym title=""something"">sth</acronym><br>• that isn&#39;t enough<br>• what difference does it make?<br>• you just don&#39;t do things like that!<br>• to do one thing without neglecting the other<br>• is your old tape recorder still working?<br>• your dog won&#39;t bite, will it?<br>• do as you would be done by <span class=""rhetoric""><acronym title=""proverb"">prov</acronym></span><br>• well, if you must<br>• don&#39;t worry, the dog won&#39;t hurt you<br>• the doctor can&#39;t do anything  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> can do nothing]</span>  more for him<br>• to put <acronym title=""something"">sth</acronym> somewhere<br>• what can be done<br>• to do as one pleases <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> likes]</span><br>• to do quite a lot  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bit]</span> /something/nothing for <acronym title=""somebody"">sb</acronym><br>• you need to do something for your health<br>• to do quite a lot  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bit]</span> /something/nothing<br>• to do <acronym title=""something"">sth</acronym> with <acronym title=""somebody"">sb</acronym><br>• to do quite a lot  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bit]</span> /something/nothing for <acronym title=""something"">sth</acronym><br>• to be still working  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> going]</span> /broken <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""style""><acronym title=""slang"">sl</acronym></span> kaput]</span> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""style""><acronym title=""informal"">inf</acronym></span> have had it]</span><br>• to do <acronym title=""something"">sth</acronym> out of  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> for]</span>  love/desperation<br>• what are you doing [there]?<br>• to do nothing but ...<br>• it doesn&#39;t matter<br>• to do quite a lot  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bit]</span> /something/nothing [for <acronym title=""somebody"">sb</acronym>]<br>• to do <acronym title=""something"">sth</acronym> about <acronym title=""something"">sth</acronym><br>• what <acronym title=""somebody"">sb</acronym> can and can&#39;t  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> should and shouldn&#39;t]</span>  do<br>• the things we do for our nephews and nieces!<br>• to not do <acronym title=""something"">sth</acronym> for less than <acronym title=""something"">sth</acronym><br>• one does what one can<br>• whatever shall we do?<br>• what are the scissors doing in the fridge?<br>• he does nothing but complain<br>• to have still got a lot to do<br>• will that do?</span>"
"<strong>tun weh</strong> <br><br> <span style='font-size:75%'>wehtun (transitive verb) <br>• <span class=""grammatical_construction"">sich <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">wehtun
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym>/einem Tier <strong class=""tilde"">wehtun
</strong>               </span></span>"	"to hurt<br><br> <span style='font-size:75%'>Automated translations:<br>• to hurt <acronym title=""somebody"">sb</acronym>/an animal<br>• to hurt oneself</span>"
es tut weh	it hurts
Spezifität	specificity
