Zeit mit verbringt	spend time with
"<strong>Stören, AKK,</strong> <br><br> <span style='font-size:75%'>stören (transitive verb) <br>• <span class=""example"">entschuldigen Sie, wenn ich Sie störe</span><br>• <span class=""full_collocation"">einen Sender <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""example"">hier ist der Empfang oft gestört</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [durch <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""example"">das stört mich nicht</span><br>• <span class=""example"">das stört mich an ihm</span><br>• <span class=""example"">was mich daran stört ...</span><br>• <span class=""example"">bitte lassen Sie sich nicht <strong class=""tilde"">stören!</strong></span><br>• <span class=""example"">tut mir leid, wenn ich dich störe, aber könntest du mir sagen, wie spät es ist?</span><br>• <span class=""example"">die Konferenz wurde von einer Gruppe Demonstranten gestört</span><br>• <span class=""full_collocation"">den Empfang <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""example"">mein Schlaf wurde durch den Verkehrlärm gestört</span><br>• <span class=""full_collocation""><acronym title=""jemandes"">jds</acronym> Schlaf <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""example"">stört es Sie, wenn ich rauche?</span><br>• <span class=""example"">störe mich jetzt nicht!</span><br>• <span class=""full_collocation"">ein gutes Verhältnis <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""full_collocation"">einen Sender <strong class=""tilde"">stören
</strong>               </span> <span class=""sense"">(absichtlich)</span><br>• <span class=""full_collocation""><acronym title=""jemandes"">jds</acronym> Pläne <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""example"">ich würde gern das Fenster aufmachen — stört dich das?</span><br>• <span class=""example"">hör bitte auf! das stört mich!</span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym> bei der Arbeit <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> [bei <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">stören
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> stört <acronym title=""jemanden"">jdn</acronym> [an <acronym title=""jemandem"">jdm</acronym>/<acronym title=""etwas"">etw</acronym>]</span></span>"	"to disturb<br><br> <span style='font-size:75%'>Automated translations:<br>• to disturb <acronym title=""something"">sth</acronym><br>• my sleep was disturbed by the noise of the traffic<br>• to interfere with <acronym title=""somebody's"">sb's</acronym> plans<br>• the meeting was disrupted by a group of demonstrators<br>• to jam a transmitter<br>• <acronym title=""something"">sth</acronym> [about <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>] bothers <acronym title=""somebody"">sb</acronym><br>• sorry to trouble  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bother]</span>  you, but could you tell me the time?<br>• I don&#39;t mind<br>• do you mind  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> does it bother you]</span>  if I smoke?<br>• there is often interference [with reception] here<br>• to interfere with a transmitter<br>• what I don&#39;t like about it ...<br>• please stop! that&#39;s annoying me  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> getting on my nerves]</span> !<br>• to disturb <acronym title=""somebody's"">sb's</acronym> sleep<br>• that doesn&#39;t bother me<br>• to disturb  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bother]</span>  <acronym title=""somebody"">sb</acronym> [when he/she is doing <acronym title=""something"">sth</acronym>]<br>• I&#39;d like to open the window — do  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> would]</span>  you mind?<br>• to spoil a good relationship<br>• please don&#39;t let me disturb you!<br>• I&#39;m sorry to bother you <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> if I&#39;m disturbing you]</span><br>• to disturb <acronym title=""somebody"">sb</acronym> at his/her work<br>• to interfere with reception<br>• don&#39;t bother  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> disturb]</span>  me now!<br>• <acronym title=""somebody"">sb</acronym> doesn&#39;t like  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> dislikes]</span>  <acronym title=""something"">sth</acronym> [about <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>]<br>• to disrupt <acronym title=""something"">sth</acronym> [by <acronym title=""something"">sth</acronym>/by doing <acronym title=""something"">sth</acronym>]<br>• that&#39;s what I don&#39;t like about him</span>"
"<strong>Unterhaltung</strong> <br><br> <span style='font-size:75%'>Unterhaltung (noun) <br>• <strong class=""headword"">Unterhaltung</strong></span>"	Entertainment<br><br> <span style='font-size:75%'>Automated translations:<br>• maintenance<br>• running<br>• upkeep</span>
"<strong>streiten, Akk.</strong> <br><br> <span style='font-size:75%'>streiten (intransitive verb) <br>• <span class=""example"">darüber lässt sich <strong class=""tilde"">streiten
</strong>               </span><br>• <span class=""grammatical_construction"">mit <acronym title=""jemandem"">jdm</acronym> über <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">streiten
</strong>               </span><br>• <span class=""grammatical_construction"">[mit <acronym title=""jemandem"">jdm</acronym>] <strong class=""tilde"">streiten
</strong>               </span></span>"	"to argue<br><br> <span style='font-size:75%'>Automated translations:<br>• to argue with <acronym title=""somebody"">sb</acronym> about <acronym title=""something"">sth</acronym><br>• to argue  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> quarrel]</span>  [with <acronym title=""somebody"">sb</acronym>]<br>• that&#39;s open to argument <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> debatable]</span></span>"
"<strong>Wie er/sie tickt</strong> <br><br> <span style='font-size:75%'>erstickt (adjective and adverb) <br>• <span class=""example"">sie sprach mit halb von Tränen <strong class=""tilde"">erstickter</strong> Stimme</span><br>• <strong class=""headword"">erstickt</strong></span>"	how he/she ticks<br><br> <span style='font-size:75%'>Automated translations:<br>• she could hardly speak through all her tears<br>• stifled</span>
"<strong>leisten</strong> <br><br> <span style='font-size:75%'>leisten (transitive verb) <br>• <span class=""full_collocation"">Hilfe <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation"">Wehrdienst/Zivildienst <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""example"">ich hatte gehofft, sie würde mehr <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation"">eine Unterschrift <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> gute Dienste <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation"">ganze Arbeit <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation"">viel/nicht viel <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation"">geleistete Anzahlungen</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation"">[etwas] Anerkennenswertes/Besonderes/Erstaunliches <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""example"">ich habe heute nicht viel geleistet</span><br>• <span class=""full_collocation"">einen Eid <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""example"">für heute haben wir genug geleistet</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">leisten
</strong>               </span> <span class=""sense"">(an Arbeitsleistung erbringen)</span><br>• <span class=""full_collocation"">Gehorsam/Widerstand <strong class=""tilde"">leisten
</strong>               </span><br>• <span class=""full_collocation"">eine Anzahlung <strong class=""tilde"">leisten
</strong>               </span></span>"	"to afford<br><br> <span style='font-size:75%'>Automated translations:<br>• to be/not be very productive<br>• I haven&#39;t been very productive today<br>• to produce  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> generate]</span>  <acronym title=""something"">sth</acronym><br>• to render assistance <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• to do <acronym title=""something"">sth</acronym><br>• to serve <acronym title=""somebody"">sb</acronym> well<br>• to achieve <acronym title=""something"">sth</acronym><br>• to make a down payment<br>• to do a good job<br>• to do one&#39;s military/community service<br>• I had hoped she would do a better job<br>• to obey/offer resistance<br>• to sign<br>• advances paid<br>• to accomplish something commendable/special/amazing<br>• to swear an oath<br>• to get/not get a lot done<br>• we&#39;ve done enough for today</span>"
"<strong>Röntgen</strong> <br><br> <span style='font-size:75%'>Röntgen (noun) <br>• <strong class=""headword"">Röntgen</strong></span>"	"X-ray<br><br> <span style='font-size:75%'>Automated translations:<br>• x-raying <span class=""info"">no <acronym title=""article"">art</acronym>, no <acronym title=""plural"">pl</acronym></span></span>"
es lohnt sich	it is worth it.
"<strong>annehmen</strong> <br><br> <span style='font-size:75%'>annehmen (transitive verb) <br>• <span class=""example"">dieser Stoff nimmt kein Wasser an</span><br>• <span class=""example"">nehmen Sie das Gespräch an?</span><br>• <span class=""full_collocation"">Patienten/Schüler <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""full_collocation"">[einen] Rat <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""full_collocation"">einen Antrag <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym> <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""example"">der Konflikt nimmt immer schlimmere Ausmaße an</span><br>• <span class=""full_collocation"">schlechte Angewohnheiten <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""full_collocation"">eine Herausforderung <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""example"">du kannst doch nicht im Ernst [von mir] <strong class=""tilde"">annehmen</strong>, dass ich dir helfe</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [von <acronym title=""jemandem"">jdm</acronym>] <strong class=""tilde"">annehmen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> <strong class=""tilde"">annehmen
</strong>               </span></span>"	"to suppose<br><br> <span style='font-size:75%'>Automated translations:<br>• to accept <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• to assume <acronym title=""something"">sth</acronym><br>• to take on  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> accept]</span>  patients/[school]children<br>• to take <acronym title=""something"">sth</acronym><br>• to think <acronym title=""something"">sth</acronym> [of <acronym title=""somebody"">sb</acronym>]<br>• to accept  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> take up]</span>  a challenge<br>• will you take the call?<br>• to carry  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> pass]</span>  a motion<br>• the conflict is taking a turn for the worse<br>• to accept <acronym title=""something"">sth</acronym><br>• you can&#39;t seriously expect me to help you<br>• to accept <acronym title=""something"">sth</acronym> [from <acronym title=""somebody"">sb</acronym>]<br>• to adopt <acronym title=""somebody"">sb</acronym><br>• to take <acronym title=""something"">sth</acronym> [on]<br>• to take [a piece of] advice <span class=""info"">no <acronym title=""plural"">pl</acronym>, no <acronym title=""indefinite"">indef</acronym> <acronym title=""article"">art</acronym></span><br>• to let <acronym title=""something"">sth</acronym> in<br>• this material is water-resistant <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> water-repellent]</span><br>• to adopt <acronym title=""something"">sth</acronym><br>• to pick up  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> acquire]</span>  bad habits<br>• to take <acronym title=""something"">sth</acronym> on<br>• to adopt  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> pass]</span>  <acronym title=""something"">sth</acronym></span>"
"<strong>Arten</strong> <br><br> <span style='font-size:75%'>Aufschlüsselung auf zwei Arten () <br>• <strong class=""headword"">Aufschlüsselung auf zwei Arten</strong></span>"	Varieties/types<br><br> <span style='font-size:75%'>Automated translations:<br>• two-way breakdown</span>
"<strong>vergrößern</strong> <br><br> <span style='font-size:75%'>vergrößern (transitive verb) <br>• <span class=""example"">die Leber wird durch ständigen Alkoholmissbrauch vergrößert</span><br>• <span class=""example"">ich plane, die Firma um 35 Mitarbeiter auf 275 zu <strong class=""tilde"">vergrößern
					</strong>          </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">vergrößern
					</strong>          </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [um <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] [auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">vergrößern
					</strong>          </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">vergrößern
					</strong>          </span></span>"	"enlarge<br><br> <span style='font-size:75%'>Automated translations:<br>• to expand <acronym title=""something"">sth</acronym> [by <acronym title=""something"">sth</acronym>] [to <acronym title=""something"">sth</acronym>]<br>• to zoom <acronym title=""something"">sth</acronym><br>• to extend  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> enlarge]</span>  <acronym title=""something"">sth</acronym> [by <acronym title=""something"">sth</acronym>] [to <acronym title=""something"">sth</acronym>]<br>• to enlarge  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
							              <span class=""info""><acronym title=""separable"">sep</acronym></span> blow up]</span>  <acronym title=""something"">sth</acronym> [to <acronym title=""something"">sth</acronym>]<br>• I plan to expand the company by thirty-five employees to two hundred and seventy-five<br>• to increase <acronym title=""something"">sth</acronym><br>• to enlarge <acronym title=""something"">sth</acronym><br>• to magnify <acronym title=""something"">sth</acronym><br>• to scale up <acronym title=""something"">sth</acronym> <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• the liver becomes enlarged as a result of constant alcohol abuse</span>"
"<strong>aussehen</strong> <br><br> <span style='font-size:75%'>aussehen (intransitive verb) <br>• <span class=""example"">seh&#39; ich so [<span class=""or""><acronym title=""oder"">o.</acronym></span> danach] aus?</span><br>• <span class=""example"">du siehst mir gerade danach aus!</span> <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span><br>• <span class=""example"">du siehst gut/gesund/schick aus</span><br>• <span class=""example"">heute sieht es regnerisch aus</span><br>• <span class=""example"">so siehst du [gerade] aus!</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">aussehen</strong> wie ...</span><br>• <span class=""example"">und wie sieht es bei euch aus?</span><br>• <strong class=""headword"">aussehen</strong><br>• <span class=""full_collocation"">wie sieht&#39;s aus?</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">es sieht [<acronym title=""jemandem"">jdm</acronym>] danach [<span class=""or""><acronym title=""oder"">o.</acronym></span> so] 
                  <strong class=""tilde"">aussehen</strong>, als ...</span><br>• <span class=""full_collocation"">es sieht gut/schlecht aus</span><br>• <span class=""full_collocation"">nach Schnee/Regen <strong class=""tilde"">aussehen
</strong>               </span><br>• <span class=""full_collocation"">nach etwas/nichts aussehen</span><br>• <span class=""example"">bei mir sieht es gut aus</span><br>• <span class=""full_collocation"">bei <acronym title=""jemandem"">jdm</acronym> sieht es gut/schlecht aus</span></span>"	"to look like<br><br> <span style='font-size:75%'>Automated translations:<br>• to look good/not look anything special<br>• to look as if it is going to snow/rain<br>• I bet!<br>• to look<br>• I&#39;m doing fine<br>• what do you take me for? <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• how&#39;s things? <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span> 
                  <span class=""style""><acronym title=""informal"">inf</acronym> <acronym title=""auch"">a.</acronym></span> tricks]</span><br>• you look great/healthy/smart<br>• to look like ...<br>• things are looking good/not looking too good<br>• to look/not look the part<br>• that&#39;s what you think! <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• I don&#39;t think so!<br>• it looks like rain today<br>• it looks  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> seems]</span>  [to <acronym title=""somebody"">sb</acronym>] as though  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> if]</span>  ...<br>• things are looking good/not looking too good for <acronym title=""somebody"">sb</acronym><br>• and how are things with you?</span>"
Wie sieht es bei dir aus?	How is it looking for you?
"<strong>bereit</strong> <br><br> <span style='font-size:75%'>bereit (adjective and adverb) <br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> [für [<span class=""or""><acronym title=""oder"">o.</acronym></span> zu] <acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">bereit</strong> halten</span><br>• <span class=""grammatical_construction"">[für [<span class=""or""><acronym title=""oder"">o.</acronym></span> zu] <acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">bereit</strong> sein</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">bereit</strong> halten, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""example"">haltet euch für den Abmarsch <strong class=""tilde"">bereit!</strong></span><br>• <span class=""grammatical_construction"">[für [<span class=""or""><acronym title=""oder"">o.</acronym></span> zu] <acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">bereit</strong> sein</span> <span class=""sense"">(vorbereitet)</span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">bereit</strong> sein, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""full_collocation"">eine Antwort/Ausrede <strong class=""tilde"">bereit</strong> haben</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">bereit</strong> haben</span><br>• <span class=""grammatical_construction"">zu <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">bereit</strong> sein</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">bereit</strong> erklären, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""full_collocation"">zum Nachgeben/zu Zugeständnissen <strong class=""tilde"">bereit</strong> sein</span></span>"	"ready<br><br> <span style='font-size:75%'>Automated translations:<br>• to be willing  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> prepared]</span>  to do <acronym title=""something"">sth</acronym><br>• get ready to march<br>• to have an answer/excuse ready <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> a ready answer/excuse]</span><br>• to agree to do <acronym title=""something"">sth</acronym><br>• to be prepared to yield/to make concessions<br>• to be prepared for <acronym title=""something"">sth</acronym><br>• to be ready to do <acronym title=""something"">sth</acronym><br>• to be ready [for <acronym title=""something"">sth</acronym>]<br>• to have <acronym title=""something"">sth</acronym> at the ready<br>• to be ready  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> prepared]</span>  [for <acronym title=""something"">sth</acronym>]</span>"
